"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6","tablescraper-selected-row 7"
"बार्शी","---","क्विंटल","34","4251","4411","4400"
"नांदेड","---","क्विंटल","78","4100","4340","4280"
"उदगीर","---","क्विंटल","1996","4370","4411","4390"
"कारंजा","---","क्विंटल","1200","4025","4400","4250"
"परळी-वैजनाथ","---","क्विंटल","164","3000","4411","4375"
"रिसोड","---","क्विंटल","675","3930","4395","4155"
"मानोरा","---","क्विंटल","175","2899","4525","4150"
"राहता","---","क्विंटल","1","4200","4200","4200"
"तुळजापूर","डॅमेज","क्विंटल","67","4300","4300","4300"
"पिंपळगाव(ब) - पालखेड","हायब्रीड","क्विंटल","12","4320","4375","4350"
"अमरावती","लोकल","क्विंटल","1527","4050","4325","4187"
"नागपूर","लोकल","क्विंटल","3","4100","4312","4259"
"कोपरगाव","लोकल","क्विंटल","162","4290","4465","4400"
"मेहकर","लोकल","क्विंटल","320","3800","4385","4200"
"शिरुर","नं. २","क्विंटल","2","4100","4250","4250"
"लासलगाव - निफाड","पांढरा","क्विंटल","94","4000","4526","4460"
"जालना","पिवळा","क्विंटल","896","3000","4300","4200"
"यवतमाळ","पिवळा","क्विंटल","207","4140","4390","4265"
"परभणी","पिवळा","क्विंटल","70","4200","4300","4250"
"चोपडा","पिवळा","क्विंटल","3","4251","4251","4251"
"चिखली","पिवळा","क्विंटल","84","3600","4511","4055"
"हिंगणघाट","पिवळा","क्विंटल","568","3200","4485","3600"
"बीड","पिवळा","क्विंटल","8","4351","4351","4351"
"वाशीम","पिवळा","क्विंटल","900","4020","4426","4200"
"वाशीम - अनसींग","पिवळा","क्विंटल","90","4200","4450","4350"
"हिंगोली- खानेगाव नाका","पिवळा","क्विंटल","70","3900","4300","4100"
"जळगाव जामोद -असलगाव","पिवळा","क्विंटल","235","4200","4400","4300"
"खामगाव","पिवळा","क्विंटल","1286","4050","4500","4275"
"मलकापूर","पिवळा","क्विंटल","88","3940","4500","4285"
"वणी","पिवळा","क्विंटल","51","4115","4390","4200"
"सावनेर","पिवळा","क्विंटल","18","4100","4100","4100"
"जामखेड","पिवळा","क्विंटल","3","3800","4000","3900"
"गेवराई","पिवळा","क्विंटल","4","4000","4289","4289"
"परतूर","पिवळा","क्विंटल","4","4050","4350","4300"
"तेल्हारा","पिवळा","क्विंटल","50","3950","4200","4130"
"चांदूर बझार","पिवळा","क्विंटल","146","3200","4350","3750"
"दर्यापूर","पिवळा","क्विंटल","300","3500","4325","4200"
"देउळगाव राजा","पिवळा","क्विंटल","3","3500","4200","4000"
"लोणार","पिवळा","क्विंटल","112","4100","4325","4212"
"गंगापूर","पिवळा","क्विंटल","2","4020","4020","4020"
"आंबेजोबाई","पिवळा","क्विंटल","200","3950","4350","4300"
"किल्ले धारुर","पिवळा","क्विंटल","2","4100","4251","4251"
"केज","पिवळा","क्विंटल","65","4000","4350","4252"
"औसा","पिवळा","क्विंटल","386","3601","4501","4392"
"चाकूर","पिवळा","क्विंटल","26","4201","4301","4274"
"औराद शहाजानी","पिवळा","क्विंटल","51","4285","4335","4310"
"उमरी","पिवळा","क्विंटल","28","4500","4600","4550"
"कळंब (धाराशिव)","पिवळा","क्विंटल","122","3552","4450","4400"
"मुरुम","पिवळा","क्विंटल","65","4326","4326","4326"
"उमरगा","पिवळा","क्विंटल","2","3600","4100","4000"
"आखाडाबाळापूर","पिवळा","क्विंटल","38","4200","4600","4400"
"सेनगाव","पिवळा","क्विंटल","53","4000","4300","4100"
"मंगरुळपीर","पिवळा","क्विंटल","1080","3800","4485","4350"
"मंगळूरपीर - शेलूबाजार","पिवळा","क्विंटल","745","3700","4495","4245"
"चांदूर-रल्वे.","पिवळा","क्विंटल","38","4300","4475","4400"
"नांदूरा","पिवळा","क्विंटल","35","3500","4301","4301"
"शेगाव","पिवळा","क्विंटल","8","3250","4255","4075"
"सिंदखेड राजा","पिवळा","क्विंटल","14","3900","4300","4100"
"नेर परसोपंत","पिवळा","क्विंटल","42","2500","4365","3806"
"बाभुळगाव","पिवळा","क्विंटल","150","4001","4545","4301"
"काटोल","पिवळा","क्विंटल","23","4230","4250","4240"
"देवणी","पिवळा","क्विंटल","16","4248","4451","4350"
"08/09/2025","","","","","",""
"अहिल्यानगर","---","क्विंटल","34","4100","4300","4200"
"येवला","---","क्विंटल","5","4339","4339","4339"
"लासलगाव","---","क्विंटल","417","3000","4501","4411"
"लासलगाव - विंचूर","---","क्विंटल","178","3000","4512","4450"
"बार्शी","---","क्विंटल","73","4400","4400","4400"
"नांदेड","---","क्विंटल","96","4205","4320","4295"
"माजलगाव","---","क्विंटल","61","3500","4325","4241"
"सिन्नर","---","क्विंटल","3","4400","4485","4450"
"पाचोरा","---","क्विंटल","50","3290","4275","3611"
"अचलपूर","---","क्विंटल","19","4000","4350","4200"
"परळी-वैजनाथ","---","क्विंटल","122","4280","4414","4400"
"लोहा","---","क्विंटल","15","4151","4451","4250"
"मानोरा","---","क्विंटल","121","4103","4481","4362"
"मोर्शी","---","क्विंटल","204","3800","4050","3925"
"समुद्रपूर -वरवटबकाल","---","क्विंटल","36","4100","4205","4150"
"तुळजापूर","डॅमेज","क्विंटल","53","4300","4300","4300"
"धुळे","हायब्रीड","क्विंटल","3","3800","4380","4380"
"पिंपळगाव(ब) - पालखेड","हायब्रीड","क्विंटल","86","1500","4600","4550"
"सोलापूर","लोकल","क्विंटल","39","3550","4405","4325"
"अमरावती","लोकल","क्विंटल","765","4100","4311","4205"
"हिंगोली","लोकल","क्विंटल","500","3900","4400","4150"
"कोपरगाव","लोकल","क्विंटल","15","4200","4471","4461"
"मेहकर","लोकल","क्विंटल","120","4000","4385","4200"
"शिरुर","नं. २","क्विंटल","6","4300","4300","4300"
"लासलगाव - निफाड","पांढरा","क्विंटल","87","4000","4488","4440"
"लातूर","पिवळा","क्विंटल","2912","4250","4531","4450"
"लातूर -मुरुड","पिवळा","क्विंटल","15","4000","4451","4300"
"धर्माबाद","पिवळा","क्विंटल","180","3850","4445","4200"
"जालना","पिवळा","क्विंटल","515","3400","4300","4250"
"अकोला","पिवळा","क्विंटल","277","4000","4405","4370"
"यवतमाळ","पिवळा","क्विंटल","245","4175","4475","4325"
"परभणी","पिवळा","क्विंटल","88","4250","4300","4275"
"चोपडा","पिवळा","क्विंटल","5","4200","4200","4200"
"चिखली","पिवळा","क्विंटल","96","3700","4300","4000"
"हिंगणघाट","पिवळा","क्विंटल","834","3200","4495","3800"
"बीड","पिवळा","क्विंटल","10","3700","4350","4025"
"वाशीम","पिवळा","क्विंटल","1500","3960","4450","4100"
"वाशीम - अनसींग","पिवळा","क्विंटल","300","4000","4400","4200"
"धामणगाव -रेल्वे","पिवळा","क्विंटल","355","3700","4375","4200"
"वर्धा","पिवळा","क्विंटल","1","4000","4000","4000"
"हिंगोली- खानेगाव नाका","पिवळा","क्विंटल","72","4000","4300","4150"
"मुर्तीजापूर","पिवळा","क्विंटल","260","4250","4510","4380"
"खामगाव","पिवळा","क्विंटल","640","3450","4525","3988"
"मलकापूर","पिवळा","क्विंटल","105","3900","4500","4255"
"वणी","पिवळा","क्विंटल","9","4000","4315","4100"
